NAME,IP
IPMI_1,172.16.132.254
IPMI_1,172.16.135.251
IPMI_1,172.16.135.57
IPMI_1,172.16.135.58
IPMI_1,172.16.135.59
IPMI_1,172.16.135.60
IPMI_1,172.16.135.77
IPMI_1,172.16.135.78
IPMI_1,172.16.135.79
IPMI_1,172.16.135.80
IPMI_2,172.16.144.204
IPMI_2,172.16.144.254
IPMI_2,172.16.147.1
IPMI_2,172.16.147.10
IPMI_2,172.16.147.11
IPMI_2,172.16.147.12
IPMI_2,172.16.147.13
IPMI_2,172.16.147.14
IPMI_2,172.16.147.15
IPMI_2,172.16.147.16
IPMI_2,172.16.147.17
IPMI_2,172.16.147.18
IPMI_2,172.16.147.19
IPMI_2,172.16.147.2
IPMI_2,172.16.147.20
IPMI_2,172.16.147.3
IPMI_2,172.16.147.37
IPMI_2,172.16.147.38
IPMI_2,172.16.147.39
IPMI_2,172.16.147.4
IPMI_2,172.16.147.40
IPMI_2,172.16.147.5
IPMI_2,172.16.147.57
IPMI_2,172.16.147.58
IPMI_2,172.16.147.59
IPMI_2,172.16.147.6
IPMI_2,172.16.147.60
IPMI_2,172.16.147.7
IPMI_2,172.16.147.77
IPMI_2,172.16.147.78
IPMI_2,172.16.147.79
IPMI_2,172.16.147.8
IPMI_2,172.16.147.80
IPMI_2,172.16.147.9
